Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Oceania,Fiji,Food,Offline,High,2022-05-15,24,2022-05-23,617,873.36,480.79,538863.12,296647.43,242215.69
North America,Mexico,Cosmetics,Online,Low,2026-03-13,25,2026-03-15,5040,981.18,750.97,4945147.2,3784888.8,1160258.4
Europe,France,Food,Offline,Low,2021-11-20,26,2021-11-24,2801,367.52,269.19,1029423.52,754001.19,275422.33
Oceania,Fiji,Furniture,Offline,Medium,2026-01-03,27,2026-01-09,8797,915.01,492.02,8049342.97,4328299.94,3721043.03
South America,Chile,Electronics,Online,Medium,2025-08-23,28,2025-08-30,5431,699.88,507.12,3801048.28,2754168.72,1046879.56
North America,Mexico,Food,Offline,Low,2026-07-30,29,2026-08-01,1309,170.35,112.96,222988.15,147864.64,75123.51
Africa,Nigeria,Clothing,Offline,Low,2026-05-29,30,2026-06-09,2338,714.42,509.64,1670313.96,1191538.32,478775.64
North America,United States,Clothing,Online,High,2026-05-28,31,2026-06-02,4225,115.62,57.45,488494.5,242726.25,245768.25
Europe,Germany,Cosmetics,Offline,Critical,2024-10-04,32,2024-10-14,8806,327.89,257.62,2887399.34,2268601.72,618797.62
Oceania,Fiji,Clothing,Offline,Medium,2023-06-16,33,2023-06-19,9252,382.93,208.96,3542868.36,1933297.92,1609570.44
Europe,France,Office Supplies,Online,Critical,2025-05-05,34,2025-05-15,8937,928.24,428.64,8295680.88,3830755.68,4464925.2
North America,Canada,Cosmetics,Online,Medium,2026-02-05,35,2026-02-10,51,122.84,73.77,6264.84,3762.27,2502.57
South America,Brazil,Cosmetics,Online,High,2024-04-11,36,2024-04-18,5255,51.84,37.21,272419.2,195538.55,76880.65
South America,Chile,Office Supplies,Offline,Medium,2022-06-21,37,2022-06-29,6062,340.03,196.91,2061261.86,1193668.42,867593.44
Africa,South Africa,Food,Offline,High,2021-09-23,38,2021-09-24,5860,614.7,349.51,3602142.0,2048128.6,1554013.4
Oceania,Fiji,Electronics,Online,Critical,2025-08-02,39,2025-08-05,1486,515.43,408.09,765928.98,606421.74,159507.24
South America,Chile,Food,Online,Critical,2021-12-16,40,2021-12-18,438,929.18,572.77,406980.84,250873.26,156107.58
Asia,South Korea,Office Supplies,Offline,High,2022-04-17,41,2022-05-01,7782,965.25,621.95,7511575.5,4840014.9,2671560.6
Africa,Morocco,Cosmetics,Online,Low,2024-06-18,42,2024-07-01,3707,998.02,669.21,3699660.14,2480761.47,1218898.67
Asia,South Korea,Furniture,Offline,High,2022-10-12,43,2022-10-18,6971,899.45,412.48,6270065.95,2875398.08,3394667.87
Asia,China,Food,Online,Critical,2022-05-15,44,2022-05-23,254,360.43,220.08,91549.22,55900.32,35648.9
Oceania,Australia,Office Supplies,Online,Critical,2025-04-08,45,2025-04-09,2984,288.24,198.87,860108.16,593428.08,266680.08
North America,Canada,Electronics,Offline,Low,2024-05-05,46,2024-05-09,7696,874.32,473.86,6728766.72,3646826.56,3081940.16
North America,Canada,Cosmetics,Offline,High,2023-05-08,47,2023-05-22,8106,457.79,315.04,3710845.74,2553714.24,1157131.5
South America,Brazil,Food,Online,Low,2023-12-09,48,2023-12-18,6272,628.75,317.11,3943520.0,1988913.92,1954606.08
Asia,Japan,Office Supplies,Online,Low,2022-01-11,49,2022-01-24,4455,466.7,215.41,2079148.5,959651.55,1119496.95
Europe,France,Office Supplies,Online,Low,2023-08-02,50,2023-08-12,5246,38.27,27.41,200764.42,143792.86,56971.56
South America,Argentina,Clothing,Online,Low,2026-04-12,51,2026-04-24,7949,603.26,303.31,4795313.74,2411011.19,2384302.55
South America,Argentina,Furniture,Online,High,2026-05-23,52,2026-05-25,4394,199.19,124.03,875240.86,544987.82,330253.04
Oceania,Australia,Clothing,Online,Critical,2026-03-16,53,2026-03-29,5207,695.0,506.94,3618865.0,2639636.58,979228.42
South America,Brazil,Food,Online,Critical,2026-05-05,54,2026-05-11,7782,237.62,176.13,1849158.84,1370643.66,478515.18
North America,Mexico,Clothing,Offline,Medium,2023-09-20,55,2023-09-30,1665,530.71,270.62,883632.15,450582.3,433049.85
North America,Mexico,Office Supplies,Offline,High,2025-07-23,56,2025-07-28,2125,269.03,179.93,571688.75,382351.25,189337.5
Asia,Japan,Food,Offline,High,2026-05-08,57,2026-05-19,6434,335.18,180.18,2156548.12,1159278.12,997270.0
Oceania,New Zealand,Office Supplies,Online,Low,2024-06-19,58,2024-06-24,9007,717.92,380.85,6466305.44,3430315.95,3035989.49
Africa,Morocco,Furniture,Online,High,2022-01-06,59,2022-01-10,3331,733.97,584.52,2444854.07,1947036.12,497817.95
Africa,Nigeria,Office Supplies,Offline,Critical,2026-07-06,60,2026-07-14,4177,187.19,114.52,781892.63,478350.04,303542.59
Europe,Spain,Food,Offline,Medium,2023-10-29,61,2023-11-03,2287,55.64,29.01,127248.68,66345.87,60902.81
Oceania,Australia,Cosmetics,Offline,Critical,2026-08-02,62,2026-08-16,8940,48.49,27.2,433500.6,243168.0,190332.6
Africa,Morocco,Food,Online,Low,2023-11-07,63,2023-11-12,8849,935.49,690.43,8278151.01,6109615.07,2168535.94
Europe,Italy,Electronics,Offline,High,2025-10-10,64,2025-10-23,600,729.29,574.52,437574.0,344712.0,92862.0
Oceania,Australia,Electronics,Online,High,2023-03-06,65,2023-03-10,5786,256.34,184.06,1483183.24,1064971.16,418212.08
Oceania,Fiji,Food,Offline,Low,2024-06-23,66,2024-06-24,6924,980.82,642.66,6791197.68,4449777.84,2341419.84
Africa,Kenya,Office Supplies,Offline,Critical,2022-04-15,67,2022-04-19,1144,851.22,665.98,973795.68,761881.12,211914.56
South America,Brazil,Furniture,Online,Medium,2022-03-18,68,2022-03-19,9686,644.43,490.58,6241948.98,4751757.88,1490191.1
Asia,Singapore,Cosmetics,Offline,High,2023-05-12,69,2023-05-26,9174,602.1,290.96,5523665.4,2669267.04,2854398.36
South America,Argentina,Electronics,Online,Medium,2024-02-08,70,2024-02-13,6506,560.18,279.55,3644531.08,1818752.3,1825778.78
Africa,Kenya,Furniture,Online,Medium,2026-04-21,71,2026-04-22,8982,873.25,443.98,7843531.5,3987828.36,3855703.14
Asia,South Korea,Clothing,Online,Medium,2021-10-30,72,2021-11-02,7271,184.69,101.39,1342880.99,737206.69,605674.3
South America,Chile,Furniture,Offline,Medium,2025-06-01,73,2025-06-15,416,925.42,552.41,384974.72,229802.56,155172.16
South America,Brazil,Food,Online,High,2022-10-29,74,2022-11-10,7567,257.43,186.66,1947972.81,1412456.22,535516.59
Asia,Japan,Furniture,Online,Low,2023-12-25,75,2024-01-04,3620,319.23,217.19,1155612.6,786227.8,369384.8
Asia,China,Cosmetics,Offline,Medium,2024-09-07,76,2024-09-15,2853,764.06,608.41,2179863.18,1735793.73,444069.45
Oceania,Australia,Office Supplies,Online,Medium,2021-12-07,77,2021-12-14,8731,558.91,337.62,4879843.21,2947760.22,1932082.99
Oceania,Fiji,Electronics,Online,Low,2024-06-29,78,2024-07-01,7014,591.35,472.72,4147728.9,3315658.08,832070.82
Asia,India,Furniture,Online,Low,2026-07-06,79,2026-07-17,4838,445.59,209.81,2155764.42,1015060.78,1140703.64
Europe,Spain,Electronics,Offline,Medium,2025-12-29,80,2026-01-08,5473,376.89,180.85,2062718.97,989792.05,1072926.92
Africa,Nigeria,Electronics,Offline,Critical,2025-10-24,81,2025-11-07,1781,425.2,294.45,757281.2,524415.45,232865.75
Africa,Nigeria,Cosmetics,Offline,High,2026-04-14,82,2026-04-23,9667,418.94,272.58,4049892.98,2635030.86,1414862.12
Africa,Nigeria,Food,Online,Critical,2022-03-13,83,2022-03-26,3081,692.35,384.46,2133130.35,1184521.26,948609.09
Europe,United Kingdom,Office Supplies,Offline,High,2021-08-08,84,2021-08-16,9636,250.38,166.46,2412661.68,1604008.56,808653.12
Europe,France,Food,Online,High,2025-07-04,85,2025-07-07,9082,73.36,57.79,666255.52,524848.78,141406.74
Oceania,Fiji,Electronics,Online,Critical,2022-10-01,86,2022-10-15,4887,528.72,335.59,2583854.64,1640028.33,943826.31
North America,Mexico,Food,Online,Critical,2024-05-14,87,2024-05-28,767,368.92,276.27,282961.64,211899.09,71062.55
Asia,India,Electronics,Offline,High,2024-11-22,88,2024-12-02,5266,985.85,685.4,5191486.1,3609316.4,1582169.7
Africa,South Africa,Cosmetics,Online,Medium,2025-11-04,89,2025-11-09,3190,355.54,266.37,1134172.6,849720.3,284452.3
Europe,Spain,Food,Offline,Medium,2022-08-13,90,2022-08-16,5500,629.89,422.08,3464395.0,2321440.0,1142955.0
South America,Brazil,Office Supplies,Online,Low,2023-03-16,91,2023-03-23,9724,134.76,103.18,1310406.24,1003322.32,307083.92
Oceania,Australia,Clothing,Offline,Medium,2024-12-06,92,2024-12-18,9937,147.26,90.32,1463322.62,897509.84,565812.78
South America,Colombia,Furniture,Offline,Critical,2023-10-05,93,2023-10-14,8702,581.45,398.18,5059777.9,3464962.36,1594815.54
South America,Argentina,Cosmetics,Online,Medium,2022-06-06,94,2022-06-13,4933,100.02,46.49,493398.66,229335.17,264063.49
Europe,Germany,Office Supplies,Online,Medium,2025-05-11,95,2025-05-20,2733,811.33,608.64,2217364.89,1663413.12,553951.77
Africa,Kenya,Food,Online,Medium,2026-04-04,96,2026-04-08,6752,425.16,308.61,2870680.32,2083734.72,786945.6
South America,Chile,Electronics,Offline,Medium,2024-05-14,97,2024-05-20,7779,400.22,194.46,3113311.38,1512704.34,1600607.04
Oceania,New Zealand,Furniture,Online,Critical,2025-07-11,98,2025-07-13,2153,684.36,447.24,1473427.08,962907.72,510519.36
North America,Canada,Electronics,Offline,Medium,2025-05-12,99,2025-05-15,930,118.52,56.7,110223.6,52731.0,57492.6
Europe,Italy,Cosmetics,Online,High,2023-02-08,100,2023-02-16,1608,221.73,158.91,356541.84,255527.28,101014.56
South America,Colombia,Furniture,Offline,Medium,2024-07-13,101,2024-07-23,9557,763.01,527.34,7292086.57,5039788.38,2252298.19
Asia,South Korea,Office Supplies,Online,High,2021-09-24,102,2021-09-26,5937,59.01,42.99,350342.37,255231.63,95110.74
Oceania,New Zealand,Furniture,Offline,Medium,2025-02-23,103,2025-03-09,9473,41.13,31.71,389624.49,300388.83,89235.66
Africa,South Africa,Electronics,Offline,Critical,2026-01-04,104,2026-01-13,9667,477.23,346.85,4613382.41,3352998.95,1260383.46
Asia,India,Furniture,Offline,High,2026-04-17,105,2026-04-27,7680,706.04,529.95,5422387.2,4070016.0,1352371.2
Africa,South Africa,Office Supplies,Offline,High,2025-02-15,106,2025-02-16,3138,39.05,27.46,122538.9,86169.48,36369.42
South America,Brazil,Office Supplies,Online,Low,2025-08-30,107,2025-09-11,2138,377.32,220.21,806710.16,470808.98,335901.18
Asia,Japan,Cosmetics,Offline,Critical,2021-12-14,108,2021-12-26,5368,195.74,109.49,1050732.32,587742.32,462990.0
Europe,France,Food,Offline,Low,2025-06-11,109,2025-06-20,4496,370.65,248.15,1666442.4,1115682.4,550760.0
Europe,Germany,Clothing,Offline,Low,2025-07-11,110,2025-07-22,9351,496.26,358.71,4640527.26,3354297.21,1286230.05
Europe,Italy,Clothing,Offline,Critical,2025-04-26,111,2025-05-06,2435,384.87,186.35,937158.45,453762.25,483396.2
Asia,Singapore,Electronics,Offline,Low,2022-09-12,112,2022-09-19,6081,530.79,269.38,3227733.99,1638099.78,1589634.21
Oceania,New Zealand,Cosmetics,Online,Critical,2025-02-10,113,2025-02-18,8115,128.97,85.21,1046591.55,691479.15,355112.4
Asia,India,Electronics,Offline,High,2025-07-06,114,2025-07-19,2962,311.61,239.29,922988.82,708776.98,214211.84
Asia,China,Clothing,Offline,Critical,2022-09-03,115,2022-09-16,5593,640.83,365.89,3584162.19,2046422.77,1537739.42
North America,Mexico,Electronics,Online,High,2023-10-27,116,2023-11-09,4636,432.53,294.37,2005209.08,1364699.32,640509.76
North America,Mexico,Office Supplies,Offline,Medium,2023-09-11,117,2023-09-22,4689,800.24,571.1,3752325.36,2677887.9,1074437.46
Africa,South Africa,Food,Online,Critical,2023-04-30,118,2023-05-10,8685,18.53,8.58,160933.05,74517.3,86415.75
South America,Chile,Cosmetics,Online,High,2023-02-04,119,2023-02-08,5265,478.56,307.28,2519618.4,1617829.2,901789.2
North America,Canada,Clothing,Offline,Critical,2021-12-26,120,2022-01-05,7305,13.91,7.63,101612.55,55737.15,45875.4
South America,Colombia,Food,Offline,High,2021-10-02,121,2021-10-07,894,516.31,409.34,461581.14,365949.96,95631.18
Oceania,New Zealand,Clothing,Offline,Low,2026-04-23,122,2026-04-30,3937,647.32,347.39,2548498.84,1367674.43,1180824.41
Europe,Italy,Food,Online,High,2024-05-02,123,2024-05-16,3059,879.22,426.8,2689533.98,1305581.2,1383952.78
Asia,South Korea,Office Supplies,Offline,Critical,2022-02-01,124,2022-02-12,3075,739.41,399.93,2273685.75,1229784.75,1043901.0
South America,Argentina,Clothing,Offline,Low,2025-09-13,125,2025-09-21,6396,38.46,30.0,245990.16,191880.0,54110.16
Africa,Morocco,Electronics,Online,Medium,2024-06-11,126,2024-06-17,6966,675.19,318.53,4703373.54,2218879.98,2484493.56
Africa,Kenya,Clothing,Online,Low,2025-02-19,127,2025-02-22,9531,378.79,282.93,3610247.49,2696605.83,913641.66
South America,Argentina,Electronics,Online,Low,2022-03-08,128,2022-03-10,3252,672.65,470.96,2187457.8,1531561.92,655895.88
South America,Argentina,Office Supplies,Online,Critical,2023-05-22,129,2023-05-31,7002,779.71,585.91,5459529.42,4102541.82,1356987.6
Europe,France,Electronics,Online,High,2022-04-08,130,2022-04-11,4624,583.68,354.85,2698936.32,1640826.4,1058109.92
Asia,Japan,Cosmetics,Offline,High,2026-04-03,131,2026-04-15,5447,202.28,118.34,1101819.16,644597.98,457221.18
Oceania,Fiji,Office Supplies,Online,High,2023-03-04,132,2023-03-05,9490,235.73,156.93,2237077.7,1489265.7,747812.0
Europe,France,Electronics,Offline,High,2026-03-02,133,2026-03-03,528,532.36,386.4,281086.08,204019.2,77066.88
Asia,China,Clothing,Online,Low,2024-05-17,134,2024-05-30,8377,487.34,313.97,4082447.18,2630126.69,1452320.49
Oceania,New Zealand,Office Supplies,Online,High,2025-12-05,135,2025-12-19,6339,324.92,167.58,2059667.88,1062289.62,997378.26
Europe,Spain,Office Supplies,Online,Critical,2026-03-10,136,2026-03-20,7437,540.89,364.64,4022598.93,2711827.68,1310771.25
North America,Mexico,Office Supplies,Offline,Low,2025-05-11,137,2025-05-21,4107,951.03,443.76,3905880.21,1822522.32,2083357.89
South America,Argentina,Furniture,Online,High,2024-07-28,138,2024-07-30,368,187.06,135.58,68838.08,49893.44,18944.64
Europe,Italy,Electronics,Offline,High,2024-06-30,139,2024-07-05,3007,924.45,494.42,2779821.15,1486720.94,1293100.21
Oceania,Australia,Furniture,Offline,Low,2022-11-15,140,2022-11-17,1358,994.34,482.87,1350313.72,655737.46,694576.26
North America,United States,Electronics,Online,Medium,2026-05-13,141,2026-05-21,8435,722.17,475.32,6091503.95,4009324.2,2082179.75
Asia,Singapore,Electronics,Online,Medium,2025-07-30,142,2025-08-01,8544,245.52,179.99,2097722.88,1537834.56,559888.32
Africa,Egypt,Electronics,Online,Low,2023-01-31,143,2023-02-09,5663,391.82,247.78,2218876.66,1403178.14,815698.52
Asia,Japan,Food,Online,High,2025-03-13,144,2025-03-14,5245,16.63,9.59,87224.35,50299.55,36924.8
South America,Colombia,Furniture,Online,Critical,2021-10-13,145,2021-10-18,3328,340.93,180.8,1134615.04,601702.4,532912.64
South America,Brazil,Electronics,Offline,Critical,2023-02-08,146,2023-02-11,9957,412.99,225.35,4112141.43,2243809.95,1868331.48
Oceania,Australia,Electronics,Online,Low,2026-06-01,147,2026-06-12,3951,770.43,362.05,3043968.93,1430459.55,1613509.38
Africa,South Africa,Furniture,Offline,High,2022-06-13,148,2022-06-21,813,257.26,148.05,209152.38,120364.65,88787.73
North America,United States,Food,Online,Critical,2023-05-21,149,2023-05-30,9394,83.55,47.31,784868.7,444430.14,340438.56
Africa,Morocco,Furniture,Online,Medium,2025-11-15,150,2025-11-23,6338,447.1,256.44,2833719.8,1625316.72,1208403.08
Asia,China,Clothing,Online,Low,2024-06-12,151,2024-06-26,7019,511.42,295.96,3589656.98,2077343.24,1512313.74
Africa,Egypt,Office Supplies,Offline,Critical,2024-08-20,152,2024-08-24,9899,395.01,188.52,3910203.99,1866159.48,2044044.51
Asia,China,Food,Online,High,2021-08-12,153,2021-08-26,9059,653.61,319.06,5921052.99,2890364.54,3030688.45
Oceania,Fiji,Furniture,Offline,High,2022-06-08,154,2022-06-09,4354,581.8,284.53,2533157.2,1238843.62,1294313.58
Africa,South Africa,Office Supplies,Offline,Critical,2023-11-23,155,2023-11-30,1884,875.18,567.98,1648839.12,1070074.32,578764.8
South America,Argentina,Cosmetics,Online,Critical,2026-05-20,156,2026-05-22,222,757.08,555.51,168071.76,123323.22,44748.54
Europe,Germany,Furniture,Online,Low,2026-06-29,157,2026-06-30,2519,745.8,511.69,1878670.2,1288947.11,589723.09
Oceania,Fiji,Food,Online,Critical,2024-11-12,158,2024-11-18,4074,24.85,16.28,101238.9,66324.72,34914.18
Oceania,Fiji,Food,Online,Medium,2025-09-16,159,2025-09-25,8397,281.53,150.21,2364007.41,1261313.37,1102694.04
South America,Argentina,Clothing,Offline,Low,2023-08-23,160,2023-09-02,8207,951.84,564.95,7811750.88,4636544.65,3175206.23
North America,United States,Cosmetics,Online,Low,2024-12-21,161,2024-12-25,9682,954.76,443.72,9243986.32,4296097.04,4947889.28
North America,Canada,Cosmetics,Offline,Low,2023-11-01,162,2023-11-11,8395,148.5,98.13,1246657.5,823801.35,422856.15
Europe,United Kingdom,Cosmetics,Online,Critical,2024-01-22,163,2024-01-31,9673,485.1,358.4,4692372.3,3466803.2,1225569.1
Africa,Morocco,Furniture,Online,Medium,2023-03-28,164,2023-03-30,9675,564.84,269.24,5464827.0,2604897.0,2859930.0
South America,Chile,Office Supplies,Offline,Critical,2026-02-02,165,2026-02-03,2102,990.99,467.25,2083060.98,982159.5,1100901.48
Europe,Spain,Furniture,Offline,Critical,2023-07-17,166,2023-07-19,3991,516.55,362.34,2061551.05,1446098.94,615452.11
Asia,South Korea,Cosmetics,Offline,Critical,2022-09-28,167,2022-10-07,7191,707.67,347.02,5088854.97,2495420.82,2593434.15
Africa,Kenya,Food,Offline,Critical,2022-04-11,168,2022-04-12,5711,228.81,108.95,1306733.91,622213.45,684520.46
Europe,France,Office Supplies,Online,Medium,2025-02-24,169,2025-03-01,6805,84.36,63.85,574069.8,434499.25,139570.55
Africa,South Africa,Office Supplies,Offline,High,2024-01-19,170,2024-02-01,1390,390.39,189.32,542642.1,263154.8,279487.3
Europe,Spain,Food,Online,High,2023-12-30,171,2024-01-09,3076,691.74,386.36,2127792.24,1188443.36,939348.88
Asia,Singapore,Office Supplies,Offline,Critical,2024-12-17,172,2024-12-28,4624,511.51,405.99,2365222.24,1877297.76,487924.48
Africa,South Africa,Clothing,Online,High,2026-01-06,173,2026-01-13,7006,108.85,68.06,762603.1,476828.36,285774.74
Oceania,Australia,Clothing,Offline,Low,2023-01-23,174,2023-01-28,8317,702.09,452.23,5839282.53,3761196.91,2078085.62
North America,Mexico,Cosmetics,Offline,Low,2025-07-22,175,2025-07-31,1171,505.66,232.19,592127.86,271894.49,320233.37
Europe,United Kingdom,Electronics,Offline,High,2026-01-07,176,2026-01-16,8488,60.64,35.42,514712.32,300644.96,214067.36
South America,Argentina,Office Supplies,Online,Critical,2025-05-26,177,2025-05-31,3611,392.86,245.42,1418617.46,886211.62,532405.84
South America,Argentina,Office Supplies,Online,Medium,2024-05-06,178,2024-05-11,1555,892.7,622.17,1388148.5,967474.35,420674.15
Asia,Japan,Furniture,Offline,Medium,2025-01-16,179,2025-01-21,5406,687.62,473.61,3717273.72,2560335.66,1156938.06
North America,Mexico,Office Supplies,Offline,High,2025-03-27,180,2025-04-05,1779,515.21,277.93,916558.59,494437.47,422121.12
South America,Argentina,Food,Offline,Low,2025-01-14,181,2025-01-19,4151,212.52,117.78,882170.52,488904.78,393265.74
Asia,Japan,Office Supplies,Online,High,2024-11-09,182,2024-11-17,4654,826.04,542.35,3844390.16,2524096.9,1320293.26
Asia,India,Furniture,Online,Medium,2022-03-01,183,2022-03-03,6505,262.7,179.03,1708863.5,1164590.15,544273.35
Europe,France,Clothing,Offline,Critical,2025-03-07,184,2025-03-15,3177,796.85,538.81,2531592.45,1711799.37,819793.08
South America,Brazil,Electronics,Online,Critical,2025-03-17,185,2025-03-31,6355,864.29,415.53,5492562.95,2640693.15,2851869.8
North America,Mexico,Electronics,Online,Medium,2023-01-17,186,2023-01-28,9462,32.52,15.09,307704.24,142781.58,164922.66
Oceania,Fiji,Furniture,Online,Medium,2023-01-04,187,2023-01-09,8675,876.4,588.9,7602770.0,5108707.5,2494062.5
South America,Chile,Food,Online,Critical,2025-05-14,188,2025-05-15,3012,995.2,784.37,2997542.4,2362522.44,635019.96
North America,Mexico,Cosmetics,Online,Low,2023-02-13,189,2023-02-22,4126,698.51,344.61,2882052.26,1421860.86,1460191.4
Asia,China,Food,Online,High,2022-01-07,190,2022-01-15,1176,754.44,537.91,887221.44,632582.16,254639.28
North America,United States,Office Supplies,Online,Critical,2023-08-14,191,2023-08-15,3414,90.15,68.05,307772.1,232322.7,75449.4
Europe,Italy,Office Supplies,Offline,High,2021-08-23,192,2021-08-28,8313,917.35,450.97,7625930.55,3748913.61,3877016.94
Asia,China,Cosmetics,Online,Medium,2023-03-10,193,2023-03-13,2009,560.12,355.41,1125281.08,714018.69,411262.39
Europe,Spain,Electronics,Online,High,2026-02-27,194,2026-02-28,2044,741.84,351.44,1516320.96,718343.36,797977.6
Africa,South Africa,Furniture,Offline,Low,2022-05-11,195,2022-05-13,5777,761.99,430.66,4402016.23,2487922.82,1914093.41
Asia,Singapore,Furniture,Online,High,2025-03-21,196,2025-03-22,2266,469.66,239.99,1064249.56,543817.34,520432.22
North America,Mexico,Cosmetics,Offline,High,2025-09-26,197,2025-10-04,3052,446.83,226.28,1363725.16,690606.56,673118.6
Europe,Spain,Office Supplies,Offline,Low,2022-09-04,198,2022-09-05,5602,63.41,45.51,355222.82,254947.02,100275.8
Asia,China,Cosmetics,Online,Medium,2025-10-12,199,2025-10-23,5561,16.26,7.66,90421.86,42597.26,47824.6
Europe,Italy,Clothing,Online,Low,2021-12-27,200,2022-01-03,5445,777.02,433.57,4230873.9,2360788.65,1870085.25
Oceania,Fiji,Food,Offline,Low,2026-02-19,201,2026-03-04,3164,528.37,373.41,1671762.68,1181469.24,490293.44
South America,Brazil,Cosmetics,Online,High,2023-07-12,202,2023-07-13,7675,376.57,175.77,2890174.75,1349034.75,1541140.0
South America,Argentina,Office Supplies,Online,Low,2024-12-02,203,2024-12-06,6652,825.59,530.23,5491824.68,3527089.96,1964734.72
Europe,Spain,Office Supplies,Offline,Medium,2023-02-19,204,2023-02-20,3854,181.68,104.31,700194.72,402010.74,298183.98
Africa,Nigeria,Furniture,Online,Medium,2025-04-15,205,2025-04-19,3747,201.37,133.6,754533.39,500599.2,253934.19
South America,Colombia,Clothing,Online,Critical,2023-08-17,206,2023-08-28,6004,800.78,432.26,4807883.12,2595289.04,2212594.08
South America,Brazil,Electronics,Online,Medium,2022-12-24,207,2022-12-31,9528,863.57,538.32,8228094.96,5129112.96,3098982.0
South America,Brazil,Furniture,Offline,Medium,2024-07-03,208,2024-07-06,8877,396.7,278.86,3521505.9,2475440.22,1046065.68
North America,Canada,Electronics,Online,High,2023-05-15,209,2023-05-17,459,346.19,179.85,158901.21,82551.15,76350.06
North America,Canada,Cosmetics,Offline,Medium,2021-08-10,210,2021-08-18,6881,336.25,258.63,2313736.25,1779633.03,534103.22
Europe,United Kingdom,Office Supplies,Offline,Critical,2021-12-23,211,2021-12-31,3675,218.47,161.23,802877.25,592520.25,210357.0
Europe,Germany,Cosmetics,Offline,Critical,2022-10-24,212,2022-11-01,3631,369.79,198.24,1342707.49,719809.44,622898.05
Africa,Nigeria,Furniture,Offline,High,2026-05-29,213,2026-06-12,804,925.47,526.17,744077.88,423040.68,321037.2
Asia,Singapore,Electronics,Online,Low,2023-05-02,214,2023-05-15,239,324.7,243.83,77603.3,58275.37,19327.93
Asia,South Korea,Food,Online,Low,2026-07-31,215,2026-08-04,3486,679.03,339.15,2367098.58,1182276.9,1184821.68
Europe,France,Clothing,Online,Low,2025-10-08,216,2025-10-15,513,543.78,402.15,278959.14,206302.95,72656.19
Europe,Italy,Furniture,Offline,Low,2022-04-01,217,2022-04-14,296,693.54,408.79,205287.84,121001.84,84286.0
